Company Name,rows,industry,website,title_sample,reason_top,pair_counts,invest_counts,initial_label,confidence,auto_reason,desc_sample,keywords_sample,headline_sample
Valiant Capital,4,Financial Services,http://www.valiant-capital.com,Chief Executive Officer | Senior Partner | Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 4},{'No': 4},Maybe,medium,finance_with_service_signals,"Valiant Capital is a leading capital advisory and lending firm, empowering businesses nationwide with a strategic focus on the vibrant Texas market. Our mission is to deliver bespoke capital solutions that propel our clients to unparalleled success. We pride ourselves on our rigorous approach to securing capital, ensuring a streamlined and efficient process.

At the core of our expertise lies in p","business consulting, forecasting, lending, capital advisory, tax credit, consulting, usda, smbs, corporate financial analysis, credit, real estate, private credit, small business lending, loans, cfo, hotel lending, capital markets, sba lending, business lending, real estate lending, commercial real ",CEO At Valiant Capital
Varsity Healthcare Partners,9,Investment Management,http://www.varsityhealthcarepartners.com,Operating Partner | Vice President @ Varsity Healthcare Partners (vhp) | Partner,Private Equity,{'Yes->No': 9},{'Yes': 9},Maybe,medium,finance_with_service_signals,"Varsity Healthcare Partners builds leading healthcare services companies, employing a differentiated partnership model. Our approach is predicated on a commitment to unconditional alignment and transparency with all stakeholders – founders, management teams, employees and investors.

Varsity Healthcare Partners is a lower middle-market private equity investment firm focused on partnering with foun","healthcare private investment, private equity, healthcare investment, lower middle-market, multi-site healthcare, outsourced services, growth equity, buyout, recapitalization, investment strategy, operational enhancement, managerial enhancement, value creation plan, economic alignment, portfolio man",Operating Partner
"Velocity Capital, LLC",1,Financial Services,http://www.velocitycapitalllc.com,Chief Executive Officer,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Maybe,medium,finance_with_service_signals,"In today's high-speed trading world, demand for services that are point-and-click has become a must for serious traders. Velocity Capital, LLC has the contacts and technology to give your trading business a decisive advantage.

Through our OMS integrated locate monitor or online portal, clients have real-time access to hard-to-borrow names.","investment, capital management, asset allocation, portfolio strategy, risk assessment, market analysis, private equity, venture capital, fund management, investment strategies, business development, financial planning, equity investments, real estate investments, structured finance, wealth managemen",Chief Executive Officer
Venning,1,Accounting,http://www.venningadvisors.com,Managing Partner,Accounting firm - service provider,{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Venning Advisors is a full-service CPA and Advisory Firm that serves a broad client base whose businesses form the backbone of our local economies across the U.S., and the individuals who drive that growth. 

Our clients run factories, build real estate, create jobs and power their local world. We work as one integrated team to help our clients achieve their greatest long-term potential and most i","accounting, transaction services, people management, cfo services, tax, payroll, ipo, managed services, cpa services, tax compliance, tax planning, business accounting, audit services, assurance services, financial consulting, financial reporting, personal tax services, business tax services, contro","Managing Partner | Cromwell Advisory | CEO Coaching | Financial Advisory | Private Equity M&a Advisory (blackstone, Investcorp) | Pe Portfolio Company Exec (carlyle) | Edtech | Franchising | Accounting |energy Transition"
VertexCFO,1,Accounting,http://www.vertexcfo.com,Founder & Principal,Accounting firm - service provider,{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"VertexCFO provides fractional CFO and Controller expertise to middle market and well-funded start-up companies seeking to make solid financial decisions to manage, grow or sell their companies. 

Based in Denver, Colorado, VertexCFO specializes in making sense of complex financial information, providing CEOs and entrepreneurs sound data to run their businesses and present to their investors. Verte","fractional cfo, fractional controller, mergers & acquisitions, capital raise process, forecasting, cash flow analysis, monthly financials, financial projections, financial presentations, accounting support, outsourced cfo, outsourced controller, finance, accounting, m, a advisory, strategic planning","Fractional CFO * Financial Models For Ceos, Entrepreneurs * Capital Raise And M&a Advisory * Outsourced CFO "
Vesey Street Capital Partners,9,Investment Management,http://www.vscpllc.com,Vice President | General Partner | President & Chief Operating Officer,Private Equity,{'Yes->No': 9},{'Yes': 9},Maybe,medium,finance_with_service_signals,"Private Equity Partner of Choice for Lower Middle-Market Healthcare Services Companies

Vesey Street Capital Partners (VSCP) is a New York City-based private equity firm specializing in buyouts of lower middle-market healthcare services businesses. Established in 2014, VSCP targets founder-led businesses and corporate carve outs with a track record of robust cash flow and minimal reimbursement ris","healthcare services, private equity, healthcare, lowermiddle market, buyouts, lower middle-market, investment, asset management, family offices, pension funds, institutional investors, healthcare expertise, operationally focused, cash flow characteristics, conservative leverage, revenue growth, m&a,",
Vision Capital,1,Financial Services,http://www.visioncapital.com,Managing Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Maybe,medium,finance_with_service_signals,"Vision Capital is an international investor with an innovative approach to private equity.

Vision Capital was founded in 1997 and pioneered direct secondaries in Europe. Today it has €1.8 billion assets under management with offices in London and New York.

We seek to buy businesses in privately negotiated, tailored and highly structured transactions. We target investments in Europe and the Ameri","private equity, middlemarket, buyout, technology, financial services, fin tech, finance, investment, portfolio acquisitions, international investment, sustainable value, stakeholders, investment strategy, capital management, financial performance, transaction management, market analysis, equity inve",Managing Partner - Vision Capital
Watermark Capital Partners,2,Real Estate,http://www.watermarkcap.com,Partner & General Counsel | Chairman & Managing Partner,Real estate with investment signals,{'Maybe->No': 2},{'Yes': 2},No,medium,service_provider_conflict,"Watermark Capital Partners is a leading real estate investment management firm that seeks to creatively enhance the value of our investments and deliver strong-risk adjusted returns for our investors. We specialize in the lodging and travel industries, and focus on real estate assets that benefit from specialized marketing and value enhancement strategies, demographic shifts, and the unique skill ","real estate investment, investment management, lodging industry, online gaming, data analytics, customer engagement, operational efficiency, strategic partnerships, property acquisitions, financial planning, asset management, portfolio management, risk-adjusted returns, luxury resorts, hotel acquisi",General Counsel
Wegman Hessler Valore,4,Law Practice,http://www.wegmanlaw.com,Partner | Managing Partner | Senior Partner,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 4},{'No': 4},No,medium,service_provider_conflict,"Wegman Hessler Valore has been meeting the legal needs of individuals, organizations and businesses for over 50 years.  Established in 1968, our goal is to provide you with legal services of the highest quality and value. We will respond to your needs quickly, competently and cost-effectively. Our offices are conveniently located in the greater Cleveland area (Independence, Ohio).

Our commitment ","business law, corporate law, intellectual property, business litigation, trusts & estates, cybersecurity, federal criminal defense, business succession planning, general counsel, patent protection, trademark registration, litigation strategy, legal compliance, estate planning, shareholder agreements","Partner At Wegman, Hessler & Vanderburg"
"WorldBusiness Capital, Inc.",3,Financial Services,http://www.worldbusinesscapital.com,"Chairman, President And Chief Executive Officer | Executive Vice President And Chief Portfolio Officer | Owner",Financial firm with investment signals (financial services),{'Maybe->Yes': 3},{'No': 3},Maybe,medium,finance_with_service_signals,"WorldBusiness Capital, Inc. (WBC) is a regulated commercial finance company and direct lender that offers long-term loans helping middle market businesses, investment funds, and financial institutions capitalize on global growth opportunities. WBC's long-term loans finance companies and projects in a wide variety of industries.

Founded in 2003, WBC is staffed by multilingual professionals with ma","loans for mexican operations of us companies, loans for european investments in north america, loans for canadian investments in mexico, loans for financial institutions in the americas, loans for foodrelated projects in the americas, loans for healthcare facilities in the americas, commercial finan","President, Worldbusiness Capital, Inc."
🏦 FM Enterprises,1,Investment Management,http://www.premier-host.link,President Of The Board Of Directors,Investment management - potential investor,{'Maybe->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"FM Enterprise, a dynamic strategic consulting firm, is dedicated to transforming the business landscape for investors, entrepreneurs, and private equity (PE) firms. We excel in driving revenue growth through cutting-edge sales and marketing strategies, establishing impactful strategic market partnerships, and skillfully orchestrating mergers and acquisitions (M&As). 

Our core mission revolves aro","investment, sales, lending, acquisition, online business, real estate, b2b, marketing, recruiting, holding companies, digital marketing consulting, business strategy, marketing services, seo, sem, social media marketing, content marketing, email marketing, website design, brand visibility, lead gene",🚀 Strategic Buyer | M&a & Business Growth Architect | Acquiring & Scaling Businesses To $1b+ | 100x Roi Strategy For Founders & Investors | Life Is An Adventure...keep Driving!
